Date,AMZN US Equity,BNDX US Equity,DAX Index,EURUSD BGN Curncy,GS US Equity,GOOGl US Equity,TSLA US Equity,,,,,,
12/1/16,30.895,53.08,9985.43,1.0858,165.71,37.267,13.998,,,,,,
13/1/16,29.091,53.2,9960.96,1.0877,158.99,35.979,13.354,,,,,,
14/1/16,29.65,53.03,9794.2,1.0865,161.39,36.57,13.7453,,,,,,
15/1/16,28.509,53.1,9545.27,1.0916,155.61,35.525,13.666,,,,,,
19/1/16,28.724,52.94,9664.21,1.0908,156.82,35.954,13.648,,,,,,
20/1/16,28.589,53.1,9391.64,1.089,153.75,35.928,13.2467,,,,,,
21/1/16,28.751,53.15,9574.16,1.0874,151.65,36.334,13.3313,,,,,,
22/1/16,29.819,53.04,9764.88,1.0796,156.86,37.273,13.5033,,,,,,
25/1/16,29.827,53.17,9736.15,1.0849,151.12,36.681,13.092,,,,,,
26/1/16,30.063,53.13,9822.75,1.087,154.45,36.689,12.904,,,,,,
27/1/16,29.168,53.29,9880.82,1.0893,153.72,35.879,12.538,,,,,,
28/1/16,31.768,53.4,9639.59,1.094,157.06,37.415,12.6467,,,,,,
29/1/16,29.35,53.57,9798.11,1.0831,161.56,38.068,12.7467,,,,,,
1/2/16,28.74,53.51,9757.88,1.0888,159.65,38.539,13.1293,,,,,,
2/2/16,27.605,53.6,9581.04,1.0919,151.7,39.046,12.1853,,,,,,
3/2/16,26.554,53.68,9434.82,1.1105,152.68,37.469,11.5653,,,,,,
4/2/16,26.813,53.68,9393.36,1.1209,156.49,36.502,11.6887,,,,,,
5/2/16,25.107,53.69,9286.23,1.1158,156.47,35.188,10.84,,,,,,
8/2/16,24.405,53.79,8979.36,1.1193,149.25,35.208,9.866,,,,,,
9/2/16,24.104,53.82,8879.4,1.1293,148.25,35.051,9.8833,,,,,,
10/2/16,24.524,53.76,9017.29,1.1292,147.23,35.343,9.578,,,,,,
11/2/16,25.191,53.84,8752.87,1.1323,140.69,35.318,10.0313,,,,,,
12/2/16,25.354,53.61,8967.51,1.1256,146.13,35.345,10.0693,,,,,,
16/2/16,26.055,53.64,9135.11,1.1144,149.02,35.882,10.3447,,,,,,
17/2/16,26.705,53.68,9377.21,1.1128,150.94,36.599,11.2453,,,,,,
18/2/16,26.25,53.8,9463.64,1.1107,147.73,35.876,11.118,,,,,,
19/2/16,26.745,53.85,9388.05,1.113,146.91,36.106,11.1053,,,,,,
22/2/16,27.975,53.9,9573.59,1.103,148.79,36.453,11.8493,,,,,,
23/2/16,27.647,53.91,9416.77,1.102,144.91,35.865,11.814,,,,,,
24/2/16,27.702,53.98,9167.8,1.1013,145.56,36.045,11.9333,,,,,,
25/2/16,27.758,54.07,9331.48,1.1018,148.25,36.456,12.4953,,,,,,
26/2/16,27.762,54.07,9513.3,1.0934,150.25,36.243,12.6893,,,,,,
29/2/16,27.626,54.19,9495.4,1.0873,149.53,35.861,12.7953,,,,,,
1/3/16,28.952,54.12,9717.16,1.0868,154.65,37.109,12.4233,,,,,,
2/3/16,29.011,53.96,9776.62,1.0868,154.2,36.974,12.556,,,,,,
3/3/16,28.875,53.99,9751.92,1.0957,155.33,36.58,13.0493,,,,,,
4/3/16,28.757,54.01,9824.17,1.1005,156.84,36.511,13.4027,,,,,,
7/3/16,28.14,54.03,9778.93,1.1014,155.35,35.64,13.686,,,,,,
8/3/16,28.013,54.17,9692.82,1.1011,151.6,35.677,13.5067,,,,,,
9/3/16,27.974,54.03,9723.09,1.0999,149.91,36.271,13.9147,,,,,,
10/3/16,27.946,53.84,9498.15,1.1177,151.02,36.609,13.6787,,,,,,
11/3/16,28.481,54.02,9831.13,1.1156,153.94,37.244,13.8333,,,,,,
14/3/16,28.669,54,9990.26,1.1103,153.49,37.512,14.3433,,,,,,
15/3/16,28.851,54,9933.85,1.1109,152.03,37.529,14.556,,,,,,
16/3/16,28.714,54.13,9983.41,1.1224,150.54,37.868,14.7953,,,,,,
17/3/16,27.972,54.24,9892.2,1.1318,152.91,37.924,15.092,,,,,,
18/3/16,27.604,54.35,9950.8,1.127,157.6,37.771,15.516,,,,,,
21/3/16,27.699,54.35,9948.64,1.1241,156.29,38.108,15.888,,,,,,
22/3/16,28.024,54.41,9990,1.1217,154.2,38.003,15.616,,,,,,
23/3/16,28.482,54.4,10022.93,1.1181,154.08,37.878,14.8387,,,,,,
24/3/16,29.148,54.46,9851.35,1.1174,153,37.742,15.1833,,,,,,
29/3/16,29.693,54.57,9887.94,1.1291,155.03,38.295,15.342,,,,,,
30/3/16,29.935,54.58,10046.61,1.1338,156.5,38.417,15.126,,,,,,
31/3/16,29.682,54.54,9965.51,1.138,156.98,38.145,15.318,,,,,,
1/4/16,29.925,54.46,9794.64,1.1391,159.82,38.484,15.8393,,,,,,
4/4/16,29.66,54.45,9822.08,1.1391,157.77,38.256,16.466,,,,,,
5/4/16,29.307,54.57,9563.36,1.1384,155.35,37.929,17.0313,,,,,,
6/4/16,30.104,54.53,9624.51,1.1399,155.19,38.404,17.6947,,,,,,
7/4/16,29.571,54.55,9530.62,1.1378,150.41,38.006,17.1467,,,,,,
8/4/16,29.73,54.56,9622.26,1.1399,150.28,37.974,16.6713,,,,,,
11/4/16,29.797,54.53,9682.99,1.1408,152.2,37.877,16.6613,,,,,,
12/4/16,30.158,54.45,9761.47,1.1386,154.31,38.216,16.5213,,,,,,
13/4/16,30.741,54.51,10026.1,1.1274,159.85,38.596,16.9687,,,,,,
14/4/16,31.038,54.52,10093.65,1.1268,160.91,38.77,16.7907,,,,,,
15/4/16,31.295,54.58,10051.57,1.1284,158.52,39,16.9673,,,,,,
